ticker,settore,industria,capitalizzazione,azioni_in_circolazione,flottante,valuta,tipo,denominazione,denaro,lettera,spread_pct
A2A.MI,Utilities,Utilities - Diversified,7135941120.0,3128426632.0,1420993945.0,EUR,EQUITY,A2A S.p.A.,2.28,2.282,0.08768084173609049
AAT.MI,Technology,Software - Infrastructure,12170957.0,10472463.0,4038500.0,EUR,EQUITY,AATECH S.p.A. Società Benefit,1.02,1.05,2.8985507246376834
ABC.MI,Financial Services,Asset Management,126109704.0,11213130.0,9925567.0,EUR,EQUITY,ABC Company S.p.A.,,,
ABP.MI,Industrials,Engineering & Construction,175087504.0,30450000.0,,EUR,EQUITY,Azienda Bresciana Petroli Nocivelli S.p.A.,5.7,5.85,2.597402597402588
ABT.MI,Real Estate,Real Estate - Development,71571808.0,25561360.0,11997237.0,EUR,EQUITY,Abitare In S.p.A.,2.75,2.81,2.1582733812949657
ABTG.MI,Consumer Defensive,Education & Training Services,6491382.0,5111325.0,2471149.0,EUR,EQUITY,Alfio Bardolla Training Group S.p.A.,1.24,1.27,2.3904382470119545
AC5.MI,Utilities,Utilities - Diversified,418368832.0,197343794.0,9867190.0,EUR,EQUITY,Acinque S.p.A.,2.08,2.14,2.8436018957345994
ACE.MI,Utilities,Utilities - Diversified,4425247232.0,212547907.0,51141152.0,EUR,EQUITY,ACEA S.p.A.,20.82,20.84,0.09601536245799124
ACQ.MI,Communication Services,Advertising Agencies,27142500.0,2585000.0,,EUR,EQUITY,Acquazzurra S.p.A.,,,
ADB.MI,Industrials,Airports & Air Services,359811616.0,36125665.0,5981688.0,EUR,EQUITY,Aeroporto Guglielmo Marconi di Bologna S.p.A.,9.86,9.96,1.0090817356205997
ADV.MI,Technology,Software - Application,139535360.0,7267466.0,,EUR,EQUITY,Adventure S.p.A.,18.8,19.1,1.5831134564643834
AEDES.MI,Real Estate,REIT - Retail,10986135.0,12804354.0,11314248.0,EUR,EQUITY,Aedes Spa,0.826,0.86,4.033214709371297
AEF.MI,Consumer Cyclical,Apparel Manufacturing,16594419.0,100572235.0,32076703.0,EUR,EQUITY,Aeffe S.p.A.,0.16,0.163,1.8575851393188871
AGAIN.MI,Technology,Information Technology Services,3438307.0,5000391.0,,EUR,EQUITY,Cloudia Research S.p.A.,0.628,0.88,33.42175066312997
AGP.MI,Technology,Solar,129107864.0,18235574.0,6985501.0,EUR,EQUITY,Altea Green Power S.p.A.,7.06,7.08,0.28288543140028943
AIM.MI,Real Estate,REIT - Specialty,2015673.0,72668.0,,EUR,EQUITY,4AIM SICAF S.p.A.,27.4,28.63,4.390505086560773
AIM2.MI,,,,,,EUR,EQUITY,4AIM SICAF SPA-Comparto 2 Crowdfunding Fund,,,
ALFO.MI,Technology,Software - Application,2807573.0,13119500.0,6169182.0,EUR,EQUITY,,0.175,0.214,20.051413881748076
ALMS.MI,Industrials,Specialty Industrial Machinery,163384608.0,30769230.0,,EUR,EQUITY,,5.34,5.43,1.6713091922005545
AMB.MI,Financial Services,Capital Markets,1192377.0,2722322.0,2644552.0,EUR,EQUITY,Ambromobiliare S.p.A.,0.432,0.45,4.081632653061228
AMI.MI,Communication Services,Entertainment,16753879.0,11716000.0,,EUR,EQUITY,Friends S.p.A.,1.4,1.44,2.8169014084507067
AMP.MI,Healthcare,Medical Distribution,,,102225460.0,EUR,EQUITY,,12.315,12.32,0.04059265272986225
ANIM.MI,Financial Services,Asset Management,2325293056.0,325215817.0,26983156.0,EUR,EQUITY,Anima Holding SpA,7.14,7.16,0.2797202797202862
ARBS.MI,Healthcare,Biotechnology,19866764.0,6513693.0,4641236.0,EUR,EQUITY,,3.03,3.08,1.636661211129305
ARIS.MI,Industrials,Building Products & Equipment,1317890688.0,120414761.0,54996938.0,EUR,EQUITY,Ariston Holding N.V.,3.584,3.598,0.38986354775827875
ARN.MI,Utilities,Utilities - Renewable,1053010048.0,53725000.0,3528121.0,EUR,EQUITY,Alerion Clean Power S.p.A.,19.56,19.62,0.3062787136294144
ART.MI,Consumer Cyclical,Leisure,7426299.0,35363333.0,,EUR,EQUITY,Deodato.Gallery S.p.A.,0.206,0.214,3.809523809523813
ASC.MI,Utilities,Utilities - Regulated Gas,591957504.0,216437856.0,65831738.0,EUR,EQUITY,Ascopiave S.p.A.,2.735,2.745,0.3649635036496434
ATON.MI,Industrials,Electrical Equipment & Parts,3105000.0,7500000.0,,EUR,EQUITY,ATON Green Storage S.p.A.,,,
AUTME.MI,Industrials,Engineering & Construction,11725000.0,4375000.0,1794494.0,EUR,EQUITY,Autostrade Meridionali S.p.A.,2.68,2.76,2.9411764705882217
AVIO.MI,Industrials,Aerospace & Defense,1489667584.0,46162614.0,33208210.0,EUR,EQUITY,Avio S.p.A.,,,
AZM.MI,Financial Services,Asset Management,5401664000.0,142223899.0,101481116.0,EUR,EQUITY,Azimut Holding S.p.A.,37.97,37.99,0.05265929436546373
B.MI,Industrials,Specialty Business Services,123540464.0,111297716.0,12531010.0,EUR,EQUITY,Bastogi S.p.A.,1.11,1.12,0.8968609865470858
BAMI.MI,Financial Services,Banks - Regional,25044285440.0,1505065360.0,1201103876.0,EUR,EQUITY,Banco BPM S.p.A.,16.635,16.645,0.060096153846141885
BAN.MI,Consumer Cyclical,Apparel Retail,284941056.0,46788353.0,4544142.0,EUR,EQUITY,BasicNet S.p.A.,6.09,6.12,0.49140049140049546
BC.MI,Consumer Cyclical,Luxury Goods,5973120000.0,68000000.0,33966000.0,EUR,EQUITY,Brunello Cucinelli S.p.A.,87.76,87.82,0.06834491399930295
BDB.MI,Financial Services,Banks - Regional,2219294720.0,131474807.0,36908525.0,EUR,EQUITY,Banco di Desio e della Brianza S.p.A.,16.88,16.92,0.23668639053256038
BEC.MI,Technology,Consumer Electronics,123165088.0,10899565.0,5037546.0,EUR,EQUITY,B&C Speakers S.p.A.,11.3,11.35,0.44150110375275
BELL.MI,Consumer Cyclical,Recreational Vehicles,25464000.0,6366000.0,,EUR,EQUITY,Bellini Nautica S.p.A.,3.92,3.96,1.01522842639594
BES.MI,Financial Services,Asset Management,596644.0,10286969.0,1407999.0,EUR,EQUITY,,0.051,0.059,14.545454545454549
BF.MI,,,,194667169.0,,,MUTUALFUND,BolognaFiere S.p.A.,,,
BFF.MI,Financial Services,Credit Services,598054784.0,188899178.0,179199205.0,EUR,EQUITY,BFF Bank S.p.A.,3.162,3.168,0.18957345971564699
BFG.MI,Consumer Defensive,Farm Products,1314300160.0,261812782.0,18996303.0,EUR,EQUITY,B.F. S.p.A.,4.97,5.06,1.7946161515453611
BGN.MI,Financial Services,Banks - Regional,7714615808.0,114290605.0,55600094.0,EUR,EQUITY,Banca Generali S.p.A.,67.4,67.45,0.07415647015201654
BMED.MI,Financial Services,Banks - Regional,17862230016.0,740863917.0,519093712.0,EUR,EQUITY,Banca Mediolanum S.p.A.,24.1,24.11,0.04148516905205563
BMPS.MI,Financial Services,Banks - Regional,35999178752.0,3038418183.0,2196654810.0,EUR,EQUITY,Banca Monte dei Paschi di Siena S.p.A.,11.846,11.85,0.033760972315998984
BO.MI,Consumer Cyclical,Textile Manufacturing,33784128.0,47717694.0,,EUR,EQUITY,Borgosesia S.p.A.,0.708,0.716,1.1235955056179785
BPE.MI,Financial Services,Banks - Regional,29360476160.0,2085853514.0,1658282212.0,EUR,EQUITY,,,,
BRE.MI,Consumer Cyclical,Auto Parts,,,139069416.0,EUR,EQUITY,,9.98,9.99,0.10015022533800488
BRI.MI,Real Estate,Real Estate - Development,51420264.0,779094913.0,237031836.0,EUR,EQUITY,Brioschi Sviluppo Immobiliare S.p.A.,0.066,0.0676,2.395209580838309
BSS.MI,Industrials,Specialty Industrial Machinery,,,8069732.0,EUR,EQUITY,,5.18,5.21,0.5774783445620837
BST.MI,Financial Services,Banks - Regional,130282112.0,80421052.0,57633171.0,EUR,EQUITY,Banca Sistema S.p.A.,1.632,1.662,1.8214936247723152
BWZ.MI,Technology,Information Technology Services,3734893.0,11182315.0,1930739.0,EUR,EQUITY,Beewize S.p.A.,0.322,0.362,11.695906432748535
BZU.MI,Basic Materials,Building Materials,6958088704.0,176511648.0,52948170.0,EUR,EQUITY,,39.41,39.42,0.025371051630103048
CAI.MI,Communication Services,Publishing,279966784.0,120157428.0,50512981.0,EUR,EQUITY,Cairo Communication S.p.A.,2.33,2.335,0.21436227224008117
CALT.MI,Basic Materials,Building Materials,1213212032.0,120120000.0,14903288.0,EUR,EQUITY,Caltagirone SpA,10.1,10.14,0.39525691699605653
CBB.MI,Real Estate,Real Estate Services,6381658.0,8623862.0,,EUR,EQUITY,CleanBnB S.p.A.,0.728,0.74,1.6348773841961868
CDG.MI,Communication Services,Entertainment,63938848.0,12444533.0,,EUR,EQUITY,Casta Diva Group S.p.A.,3.06,3.09,0.9756097560975545
CE.MI,Financial Services,Banks - Regional,7012548608.0,340084801.0,67642867.0,EUR,EQUITY,Credito Emiliano S.p.A.,20.58,20.62,0.1941747572815665
CED.MI,Communication Services,Publishing,290469536.0,106790262.0,52504500.0,EUR,EQUITY,Caltagirone Editore SpA,2.68,2.71,1.1131725417439629
CELL.MI,Consumer Cyclical,Auto Parts,52589188.0,21464974.0,14481768.0,EUR,EQUITY,Cellularline S.p.A.,2.45,2.46,0.4073319755600728
CEM.MI,Basic Materials,Building Materials,2231712000.0,155520000.0,22195814.0,EUR,EQUITY,Cementir Holding N.V.,14.33,14.36,0.20913210177761843
CFL.MI,Consumer Cyclical,Auto Parts,11804739.0,6053712.0,1226664.0,EUR,EQUITY,Cofle S.p.A.,1.885,1.94,2.8758169934640487
CFV.MI,Financial Services,Capital Markets,19487378.0,8939164.0,4900779.0,EUR,EQUITY,Confinvest Oro S.p.A.,2.18,2.2,0.9132420091324207
CGF.MI,Utilities,Utilities - Renewable,6430000.0,5144000.0,543978.0,EUR,EQUITY,Cogefeed S.p.A.,1.1,1.15,4.444444444444429
CIR.MI,Consumer Cyclical,Auto Parts,589051008.0,827318796.0,475134999.0,EUR,EQUITY,CIR S.p.A. - Compagnie Industriali Riunite,0.711,0.715,0.5610098176718098
CIRC.MI,Technology,Information Technology Services,65183456.0,4775345.0,,EUR,EQUITY,Circle S.p.A.,13.35,13.6,1.855287569573284
CLABO.MI,Industrials,Specialty Industrial Machinery,10429321.0,9524494.0,,EUR,EQUITY,Clabo S.p.A.,0.95,1.34,34.06113537117905
CLE.MI,Communication Services,Publishing,46637964.0,322734078.0,58512087.0,EUR,EQUITY,Class Editori Spa,0.139,0.1435,3.1858407079645854
CLF.MI,Consumer Cyclical,Textile Manufacturing,11962870.0,15181307.0,6021945.0,EUR,EQUITY,Caleffi S.p.A.,0.788,0.794,0.7585335018963344
CLI.MI,Consumer Defensive,Packaged Foods,54502720.0,13228816.0,2021760.0,EUR,EQUITY,Centrale del Latte d'Italia S.p.A.,4.1,4.16,1.4527845036319733
CMB.MI,Industrials,Electrical Equipment & Parts,1358648832.0,16814959.0,4888277.0,EUR,EQUITY,Cembre S.p.A.,80.6,80.9,0.37151702786379115
CMTL.MI,Technology,Information Technology Services,35554460.0,18422000.0,5668265.0,EUR,EQUITY,Com.Tel S.p.A.,1.91,1.94,1.55844155844156
COM.MI,Industrials,Farm & Heavy Construction Machinery,1290962688.0,28624452.0,3094017.0,EUR,EQUITY,Comer Industries S.p.A.,44.9,45.0,0.22246941045606544
